Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,,
113,18.03,17.65%,0.0074,3.182295,0.109873017
114,19.89,38.91%,0.0025,7.739199,0.0303770025
115,14.7,7.55%,0.003,1.10985,0.04077045
116,21.6,30.81%,0.0085,6.65496,0.12703284
117,8.79,24.57%,0.003,2.159703,0.019890891
118,17.12,3.87%,0.0085,0.662544,0.139888376
119,11.24,20.44%,0.01,2.297456,0.08942544
120,24.29,19.87%,0.0053,4.826423,0.1031569581
121,2.53,2.64%,0.0067,0.066792,0.0165034936
122,9.78,10.83%,0.0069,1.059174,0.0601736994
123,9.03,25.08%,0.0014,2.264724,0.0094713864
124,21.77,0.95%,0.0067,0.206815,0.1444733395
125,17.23,9.27%,0.0021,1.597221,0.0328288359
126,21.67,5.05%,0.0083,1.094335,0.1707780195
127,23.71,14.67%,0.0002,3.478257,0.0040463486
128,9.94,32.46%,0.0095,3.226524,0.063778022
129,23.44,10.84%,0.0079,2.540896,0.1651029216
130,4.53,27.94%,0.0039,1.265682,0.0127308402
131,7.7,36.74%,0.0014,2.82898,0.006819428
132,18.7,2.69%,0.005,0.50303,0.09098485
133,3.7,33.10%,0.0083,1.2247,0.02054499
134,4.61,3.95%,0.0008,0.182095,0.003542324
135,12.01,23.40%,0.0028,2.81034,0.025759048
136,23.35,36.89%,0.0099,8.613815,0.1458882315
137,6.95,34.73%,0.0072,2.413735,0.032661108
138,8.99,29.33%,0.0073,2.636767,0.0463786009
139,4.43,21.00%,0.0063,0.9303,0.02204811
140,10.27,7.30%,0.0041,0.74971,0.039033189
141,22.71,24.70%,0.0067,5.60937,0.114574221
142,17.95,38.31%,0.0006,6.876645,0.006644013
143,20.48,30.63%,0.0039,6.273024,0.0554072064
144,19.79,33.64%,0.0042,6.657356,0.0551571048
145,12.04,14.15%,0.003,1.70366,0.03100902
146,6.02,28.75%,0.0049,1.73075,0.021017325
147,21.42,20.64%,0.0062,4.421088,0.1053932544
148,6.41,35.78%,0.008,2.293498,0.032932016
149,2.91,6.58%,0.0007,0.191478,0.0019029654
150,24.69,7.65%,0.0062,1.888785,0.141367533
151,20.65,32.09%,0.0095,6.626585,0.1332224425
152,22.59,10.93%,0.0028,2.469087,0.0563385564
153,7.85,13.06%,0.0076,1.02521,0.051868404
154,15.23,6.70%,0.0035,1.02041,0.049733565
155,17.09,37.73%,0.0002,6.448057,0.0021283886
156,2.28,9.97%,0.0062,0.227316,0.0127266408
157,18.73,22.53%,0.0049,4.219869,0.0710996419
158,20.65,12.98%,0.0042,2.68037,0.075472446
159,4.31,11.48%,0.0021,0.494788,0.0080119452
160,15.91,24.35%,0.0023,3.874085,0.0276826045
161,17.97,19.94%,0.0061,3.583218,0.0877593702
162,15.48,6.93%,0.0016,1.072764,0.0230515776
163,18.75,4.93%,0.0017,0.924375,0.0303035625
164,6.65,27.29%,0.0047,1.814785,0.0227255105
165,15.94,13.04%,0.0002,2.078576,0.0027722848
166,6.64,30.41%,0,2.019224,0
167,17.29,35.48%,0.0092,6.134492,0.1026306736
168,21,38.65%,0.0076,8.1165,0.0979146
169,5.07,26.56%,0.0091,1.346592,0.0338830128
170,2.62,26.87%,0.0023,0.703994,0.0044068138
171,16.14,22.56%,0.0064,3.641184,0.0799924224
172,1.96,26.50%,0.003,0.5194,0.0043218
173,10.48,29.41%,0.0076,3.082168,0.0562235232
174,20.01,36.15%,0.009,7.233615,0.114987465
175,7.4,26.02%,0.0067,1.92548,0.036679284
176,23.68,30.66%,0.0045,7.260288,0.073888704
177,4.8,36.15%,0.0096,1.7352,0.02942208
178,7.34,39.28%,0.0044,2.883152,0.0196101312
179,21.63,24.63%,0.0092,5.327469,0.1499832852
180,6.29,4.94%,0.0016,0.310726,0.0095668384
181,15.18,15.49%,0.003,2.351382,0.038485854
182,22.72,1.53%,0.0002,0.347616,0.0044744768
183,13.28,17.18%,0.0059,2.281504,0.0648911264
184,2.47,31.07%,0.0046,0.767429,0.0078318266
185,18.02,14.60%,0.0055,2.63092,0.08463994
186,18.3,36.79%,0.0054,6.73257,0.062464122
187,10.47,22.89%,0.0062,2.396583,0.0500551854
188,23.76,0.11%,0.0017,0.026136,0.0403475688
189,9.02,28.30%,0.0046,2.55266,0.029749764
190,10.52,28.79%,0.0057,3.028708,0.0427003644
191,16.75,22.87%,0.0047,3.830725,0.0607205925
192,8.05,28.58%,0.0016,2.30069,0.009198896
193,23.17,26.33%,0.0067,6.100661,0.1143645713
194,3.37,11.42%,0.0055,0.384854,0.016418303
195,8.79,38.51%,0.0049,3.385029,0.0264843579
196,5.81,2.84%,0.0075,0.165004,0.04233747
197,21.12,31.13%,0.0062,6.574656,0.0901811328
198,1.61,15.47%,0.0066,0.249067,0.0089821578
199,5.69,7.61%,0.003,0.433009,0.015770973
200,13.74,30.89%,0.0062,4.244286,0.0588734268
201,14.14,4.67%,0.0039,0.660338,0.0525706818
202,18.39,6.44%,0.0059,1.184316,0.1015135356
203,12.38,6.97%,0.001,0.862886,0.011517114
204,16.33,21.12%,0.0009,3.448896,0.0115929936
205,14.06,20.09%,0.0044,2.824654,0.0494355224
206,1.5,14.73%,0.001,0.22095,0.00127905
207,19.49,20.49%,0.0099,3.993501,0.1534153401
208,11.41,12.84%,0.003,1.465044,0.029834868
209,21.18,37.26%,0.0092,7.891668,0.1222526544
210,19.71,18.65%,0.0054,3.675915,0.086584059
211,3.62,7.53%,0.0023,0.272586,0.0076990522
212,8.08,16.41%,0.0058,1.325928,0.0391736176
213,14.72,23.82%,0.008,3.506304,0.089709568
214,15.17,38.68%,0.0014,5.867756,0.0130231416
215,13.1,12.87%,0.007,1.68597,0.07989821
216,18.51,35.35%,0.0097,6.543285,0.1160771355
217,9.59,3.24%,0.0012,0.310716,0.0111351408
218,8.53,33.21%,0.0017,2.832813,0.0096852179
219,10.46,1.37%,0.0064,0.143302,0.0660268672
220,14.35,3.28%,0.0093,0.47068,0.129077676
221,7.34,3.79%,0.0042,0.278186,0.0296596188
222,9.67,4.09%,0.0059,0.395503,0.0547195323
223,10.57,4.11%,0.0079,0.434427,0.0800710267
224,16.45,20.32%,0.0078,3.34264,0.102237408
225,22.45,11.58%,0.0081,2.59971,0.160787349
226,8.69,19.33%,0.0089,1.679777,0.0623909847
227,14.71,31.61%,0.002,4.649831,0.020120338
228,11.3,34.09%,0,3.85217,0
229,9.45,14.12%,0.004,1.33434,0.03246264
230,19.75,38.81%,0.0023,7.664975,0.0277955575
231,9.31,34.71%,0.0013,3.231501,0.0079020487
232,1.87,37.17%,0.0051,0.695079,0.0059920971
233,6.28,13.94%,0.0048,0.875432,0.0259419264
234,23.05,27.71%,0.0009,6.387155,0.0149965605
235,17.28,17.96%,0.0022,3.103488,0.0311883264
236,2.98,35.28%,0.0076,1.051344,0.0146577856
237,0.09,33.54%,0.0057,0.030186,0.0003409398
238,2.34,27.12%,0.0064,0.634608,0.0109145088
239,7.24,25.80%,0.0008,1.86792,0.004297664
240,14.18,28.87%,0.0011,4.093766,0.0110948574
241,19.89,27.58%,0.0056,5.485662,0.0806642928
242,4.61,30.67%,0.0083,1.413887,0.0265277379
243,22.55,19.51%,0.0039,4.399505,0.0707869305
244,14.7,34.72%,0.0019,5.10384,0.018232704
245,9.6,5.04%,0.0037,0.48384,0.033729792
246,1.51,27.56%,0.0061,0.416156,0.0066724484
247,22.18,17.54%,0.0006,3.890372,0.0109737768
248,19.02,34.45%,0.0019,6.55239,0.023688459
249,0.3,35.13%,0.0018,0.10539,0.000350298
250,2.17,2.64%,0.0059,0.057288,0.0124650008
251,20.63,36.87%,0.004,7.606281,0.052094876
252,12.63,24.75%,0.0007,3.125925,0.0066528525
253,23.51,31.82%,0.0082,7.480882,0.1314387676
254,13.39,6.91%,0.0004,0.925249,0.0049859004
255,12.51,38.56%,0.0015,4.823856,0.011529216
256,21.75,2.25%,0.0093,0.489375,0.1977238125
257,2.08,36.27%,0.0062,0.754416,0.0082186208
258,0.82,16.07%,0.0031,0.131774,0.0021335006
259,9.8,4.90%,0.0077,0.4802,0.07176246
260,14.3,37.01%,0.0013,5.29243,0.011709841
261,23.06,24.36%,0.0047,5.617416,0.0819801448
262,3.57,13.95%,0.0036,0.498015,0.011059146
263,0.52,12.56%,0.0095,0.065312,0.004319536
264,5.25,25.19%,0.0038,1.322475,0.014924595
265,5.03,37.77%,0.0024,1.899831,0.0075124056
266,14.67,38.05%,0.0027,5.581935,0.0245377755
267,20.59,28.61%,0.005,5.890799,0.073496005
268,22.42,20.89%,0.0001,4.683538,0.0017736462
269,18.79,26.90%,0.001,5.05451,0.01373549
270,22.11,30.98%,0.0043,6.849678,0.0656193846
271,2.55,16.07%,0.0081,0.409785,0.0173357415
272,5.04,10.19%,0.0026,0.513576,0.0117687024
273,2.31,10.09%,0.0093,0.233079,0.0193153653
274,15.37,31.97%,0.0004,4.913789,0.0041824844
275,21.05,29.96%,0.0013,6.30658,0.019166446
276,23,31.16%,0.0051,7.1668,0.08074932
277,14.81,30.02%,0.0085,4.445962,0.088094323
278,22.92,37.66%,0.0067,8.631672,0.0957317976
279,16.32,10.00%,0.0076,1.632,0.1116288
280,20.65,25.77%,0.0012,5.321505,0.018394194
281,6.99,15.28%,0.0073,1.068072,0.0432300744
282,12.09,8.21%,0.0089,0.992589,0.0987669579
283,18.62,1.06%,0.0012,0.197372,0.0221071536
284,9.49,20.89%,0.0077,1.982461,0.0578080503
285,10.81,0.90%,0.0068,0.09729,0.072846428
286,3.06,2.92%,0.0046,0.089352,0.0136649808
287,7.65,11.79%,0.0073,0.901935,0.0492608745
288,18.67,33.79%,0.002,6.308593,0.024722814
289,9.98,19.38%,0.0058,1.934124,0.0466660808
290,11.76,13.70%,0.0054,1.61112,0.054803952
291,13.94,25.68%,0.0039,3.579792,0.0404048112
292,9.54,35.38%,0.0051,3.375252,0.0314402148
293,1.52,37.79%,0.0019,0.574408,0.0017966248
294,13.13,16.92%,0.0088,2.221596,0.0959939552
295,19.85,31.76%,0.0089,6.30436,0.120556196
296,9.46,3.70%,0.0031,0.35002,0.028240938
297,14.66,7.87%,0.0061,1.153742,0.0823881738
298,6.46,39.48%,0.0033,2.550408,0.0129016536
299,14.97,34.05%,0.0092,5.097285,0.090828978
300,3.22,21.69%,0.0091,0.698418,0.0229463962
301,20.57,24.25%,0.0064,4.988225,0.09972336
302,17.22,21.78%,0.0094,3.750516,0.1266131496
303,8.43,21.13%,0.0054,1.781259,0.0359032014
304,10.55,28.77%,0.001,3.035235,0.007514765
305,21.27,37.56%,0.0052,7.989012,0.0690611376
306,13.69,14.89%,0.0059,2.038441,0.0687441981
307,12.25,31.68%,0.0096,3.8808,0.08034432
308,3.38,10.36%,0.0063,0.350168,0.0190879416
309,1.66,23.75%,0.0045,0.39425,0.005695875
310,7.41,3.09%,0.0084,0.228969,0.0603206604
311,6.07,25.04%,0.0024,1.519928,0.0109201728
312,8.11,2.37%,0.0002,0.192207,0.0015835586
313,20.6,10.27%,0.0087,2.11562,0.160814106
314,13.4,16.68%,0.0096,2.23512,0.107182848
315,18.16,18.82%,0.006,3.417712,0.088453728
316,10.29,26.62%,0.0013,2.739198,0.0098160426
317,2.98,23.74%,0.0025,0.707452,0.00568137
318,13.91,14.85%,0.0059,2.065635,0.0698817535
319,6.81,33.82%,0.0003,2.303142,0.0013520574
320,5.88,20.22%,0.002,1.188936,0.009382128
321,14.15,33.38%,0.0007,4.72327,0.006598711
322,24.88,32.24%,0.0059,8.021312,0.0994662592
323,12.32,12.58%,0.0084,1.549856,0.0904692096
324,3.73,4.23%,0.0066,0.157779,0.0235766586
325,5.62,5.11%,0.0069,0.287182,0.0367964442
326,18.25,0.93%,0.0056,0.169725,0.10124954
327,6.13,22.96%,0.0028,1.407448,0.0132231456
328,13.23,10.68%,0.0076,1.412964,0.0898094736
329,19.28,30.00%,0.0068,5.784,0.0917728
330,13.28,7.09%,0.0063,0.941552,0.0777322224
331,3.84,37.28%,0.0048,1.431552,0.0115605504
332,21.84,13.71%,0.0092,2.994264,0.1733807712
333,17.91,8.13%,0.0082,1.456083,0.1349221194
334,3.67,13.90%,0.0085,0.51013,0.026858895
335,19.08,23.12%,0.0002,4.411296,0.0029337408
336,20.58,38.02%,0.0065,7.824516,0.082910646
337,0.99,30.33%,0.0092,0.300267,0.0063455436
338,9.13,38.84%,0.0033,3.546092,0.0184268964
339,24.23,6.66%,0.0099,1.613718,0.2239011918
340,10.97,39.52%,0.0085,4.335344,0.056394576
341,20.23,10.89%,0.0096,2.203047,0.1730587488
342,8.49,20.49%,0.0046,1.739601,0.0310518354
343,21.12,20.01%,0.0036,4.226112,0.0608179968
344,3.78,3.90%,0.0011,0.14742,0.003995838
345,16.1,22.54%,0.0052,3.62894,0.064849512
346,3.89,13.68%,0.0047,0.532152,0.0157818856
347,9.09,18.02%,0.0011,1.638018,0.0081971802
348,3.51,29.99%,0.0076,1.052649,0.0186758676
349,15.73,33.88%,0.001,5.329324,0.010400676
350,1.62,4.79%,0.0048,0.077598,0.0074035296
351,12.02,15.49%,0.0027,1.861898,0.0274268754
352,18.82,33.52%,0.0012,6.308464,0.0150138432
353,8.81,8.92%,0.0083,0.785852,0.0666004284
354,16.97,33.43%,0.0085,5.673071,0.0960238965
355,8.23,7.45%,0.0017,0.613135,0.0129486705
356,4.61,28.55%,0.0049,1.316155,0.0161398405
357,5.21,34.67%,0.0077,1.806307,0.0262084361
358,21.55,27.47%,0.0059,5.919785,0.0922182685
359,8.45,8.21%,0.0035,0.693745,0.0271468925
360,10.16,17.22%,0.0059,1.749552,0.0496216432
361,20.56,10.63%,0.0085,2.185528,0.156183012
362,12.55,1.86%,0.0006,0.23343,0.007389942
363,14.71,6.77%,0.002,0.995867,0.027428266
364,0.48,18.77%,0.0065,0.090096,0.002534376
365,15.17,28.94%,0.0024,4.390198,0.0258715248
366,2.03,25.03%,0.0024,0.508109,0.0036525384
367,2.59,30.20%,0.0042,0.78218,0.007592844
368,24.05,13.69%,0.0068,3.292445,0.141151374
369,14.22,27.96%,0.0062,3.975912,0.0635133456
370,19.21,28.45%,0.0035,5.465245,0.0481066425
371,18.31,30.91%,0.0059,5.659621,0.0746372361
372,17.45,20.59%,0.001,3.592955,0.013857045
373,9.12,32.01%,0.0091,2.919312,0.0564262608
374,1.31,31.71%,0.0024,0.415401,0.0021470376
375,5.66,39.31%,0.0081,2.224946,0.0278239374
376,15.01,7.95%,0.0069,1.193295,0.0953352645
377,10.92,15.00%,0.0062,1.638,0.0575484
378,3.05,24.13%,0.007,0.735965,0.016198245
379,0.39,35.70%,0.0077,0.13923,0.001930929
380,23.23,2.87%,0.0069,0.666701,0.1556867631
381,13.26,19.48%,0.0053,2.583048,0.0565878456
382,12.7,24.02%,0.0041,3.05054,0.039562786
383,22.58,30.24%,0.0037,6.828192,0.0582816896
384,19.86,7.27%,0.0045,1.443822,0.082872801
385,8.9,2.27%,0.0029,0.20203,0.025224113
386,24.28,7.86%,0.0093,1.908408,0.2080558056
387,13.55,3.86%,0.0037,0.52303,0.048199789
388,8.65,4.12%,0.0049,0.35638,0.040638738
389,3.4,24.88%,0.0019,0.84592,0.004852752
390,22.05,4.03%,0.0059,0.888615,0.1248521715
391,20.98,26.35%,0.0049,5.52823,0.075713673
392,21.26,21.94%,0.0007,4.664444,0.0116168892
393,2.59,35.57%,0.0005,0.921263,0.0008343685
394,21.77,31.70%,0.0014,6.90109,0.020816474
395,17.66,17.73%,0.0068,3.131118,0.0987963976
396,5.01,35.97%,0.0027,1.802097,0.0086613381
397,14.17,31.43%,0.0042,4.453631,0.0408087498
398,4.15,18.68%,0.0071,0.77522,0.023960938
399,11.27,36.62%,0.0076,4.127074,0.0542862376
400,6.16,29.76%,0.0021,1.833216,0.0090862464
401,7.46,32.65%,0.0076,2.43569,0.038184756
402,8.37,33.23%,0.0084,2.781351,0.0469446516
403,21.24,38.76%,0.0023,8.232624,0.0299169648
404,10,37.05%,0.0007,3.705,0.0044065
405,21.68,37.08%,0.0072,8.038944,0.0982156032
406,4.29,34.71%,0.0077,1.489059,0.0215672457
407,20.83,22.25%,0.0078,4.634675,0.126323535
408,12.47,6.52%,0.0081,0.813044,0.0944213436
409,0.4,25.32%,0.0017,0.10128,0.000507824
410,15.16,13.04%,0.0095,1.976864,0.125239792
411,15.32,36.40%,0.0035,5.57648,0.03410232
412,20.3,15.49%,0.0087,3.14447,0.149253111
413,22.85,28.12%,0.0091,6.42542,0.149463678
414,2.15,23.14%,0.0097,0.49751,0.016029153
415,22.73,37.87%,0.0083,8.607851,0.1172138367
416,22.63,2.74%,0.0015,0.620062,0.033014907
417,23.48,39.50%,0.0079,9.2746,0.11222266
418,2.23,21.37%,0.0055,0.476551,0.0096439695
419,1.38,37.92%,0.0096,0.523296,0.0082243584
420,16.04,18.19%,0.0072,2.917676,0.0944807328
421,17.37,31.79%,0.0063,5.521923,0.0746428851
422,4.09,3.06%,0.0002,0.125154,0.0007929692
423,9.84,28.29%,0.0071,2.783736,0.0500994744
424,0.88,37.64%,0.0049,0.331232,0.0026889632
425,24.91,35.30%,0.0075,8.79323,0.120875775
426,15.98,20.84%,0.0073,3.330232,0.0923433064
427,16.38,32.55%,0.0079,5.33169,0.087281649
428,15.55,13.85%,0.0039,2.153675,0.0522456675
429,12.22,0.72%,0.0003,0.087984,0.0036396048
430,0.91,38.70%,0.0022,0.35217,0.001227226
431,12.92,33.15%,0.0037,4.28298,0.031956974
432,14.55,6.09%,0.0007,0.886095,0.0095647335
433,8.76,1.79%,0.0015,0.156804,0.012904794
434,16.71,13.29%,0.0036,2.220759,0.0521612676
435,13.01,30.73%,0.0093,3.997973,0.0838118511
436,18.33,12.63%,0.0079,2.315079,0.1265178759
437,9.93,12.86%,0.0008,1.276998,0.0069224016
438,22.13,24.80%,0.0018,5.48824,0.029955168
439,5.31,1.90%,0.001,0.10089,0.00520911
440,23.31,8.43%,0.0058,1.965033,0.1238008086
441,0.87,38.23%,0.006,0.332601,0.003224394
442,7.52,32.11%,0.0075,2.414672,0.03828996
443,12.35,29.90%,0.0056,3.69265,0.04848116
444,17.93,32.76%,0.0064,5.873868,0.0771592448
445,14.02,38.14%,0.005,5.347228,0.04336386
446,11.96,35.81%,0.0044,4.282876,0.0337793456
447,2.86,18.07%,0.0088,0.516802,0.0206201424
448,12.56,22.77%,0.0007,2.859912,0.0067900616
449,16.34,17.66%,0.0063,2.885644,0.0847624428
450,3.94,35.51%,0.0088,1.399094,0.0223599728
451,16.18,24.11%,0.0066,3.900998,0.0810414132
452,9,27.26%,0.0094,2.4534,0.06153804
453,10.55,25.64%,0.0045,2.70502,0.03530241
454,12.74,7.88%,0.0029,1.003912,0.0340346552
455,13.42,16.30%,0.0099,2.18746,0.111202146
456,7.85,12.29%,0.0062,0.964765,0.042688457
457,20.62,30.72%,0.0071,6.334464,0.1014273056
458,8.74,23.78%,0.0093,2.078372,0.0619531404
459,22.31,27.44%,0.0086,6.121864,0.1392179696
460,18.03,39.31%,0.0018,7.087593,0.0196963326
461,9.26,11.70%,0.0061,1.08342,0.049877138
462,16.42,4.95%,0.0029,0.81279,0.045260909
463,17.44,7.15%,0.0044,1.24696,0.071249376
464,13.68,5.65%,0.0045,0.77292,0.05808186
465,0.87,16.26%,0.0072,0.141462,0.0052454736
466,11.86,21.94%,0.0086,2.602084,0.0796180776
467,7.23,19.56%,0.0084,1.414188,0.0488528208
468,3.76,22.15%,0.0031,0.83284,0.009074196
469,19.91,8.86%,0.0079,1.764026,0.1433531946
470,19.8,39.34%,0.0099,7.78932,0.118905732
471,20,14.32%,0.0071,2.864,0.1216656
472,24.13,3.05%,0.0013,0.735965,0.0304122455
473,7.55,12.75%,0.009,0.962625,0.059286375
474,5.89,5.71%,0.0053,0.336319,0.0294345093
475,23.96,37.06%,0.0017,8.879576,0.0256367208
476,13.42,29.38%,0.0066,3.942796,0.0625495464
477,15.49,37.89%,0.0048,5.869161,0.0461800272
478,15.55,10.19%,0.0027,1.584545,0.0377067285
479,20.51,39.36%,0.0037,8.072736,0.0460178768
480,4.65,33.18%,0.0012,1.54287,0.003728556
481,22.71,3.42%,0.0004,0.776682,0.0087733272
482,2.05,10.38%,0.0001,0.21279,0.000183721
483,16.56,1.98%,0.0015,0.327888,0.024348168
484,24.01,36.10%,0.0058,8.66761,0.088985862
485,23.02,9.10%,0.0006,2.09482,0.012555108
486,8.97,32.24%,0.0018,2.891928,0.0109405296
487,13.88,39.92%,0.006,5.540896,0.050034624
488,18.85,16.45%,0.0011,3.100825,0.0173240925
489,21.34,24.76%,0.0074,5.283784,0.1188159984
490,6.59,12.45%,0.0076,0.820455,0.043848542
491,23.48,18.00%,0.0042,4.2264,0.08086512
492,18.09,13.18%,0.0012,2.384262,0.0188468856
493,24.38,23.06%,0.0003,5.622028,0.0056273916
494,8.36,38.75%,0.0001,3.2395,0.00051205
495,18.87,28.97%,0.0092,5.466639,0.1233109212
496,21.33,19.74%,0.0018,4.210542,0.0308150244
497,4.94,0.80%,0.0046,0.03952,0.022542208
498,9.45,4.01%,0.0035,0.378945,0.0317486925
499,12.8,23.68%,0.0006,3.03104,0.005861376
500,24.25,29.88%,0.0027,7.2459,0.04591107
501,7.77,4.90%,0.0047,0.38073,0.034729569
502,10.42,3.35%,0.0001,0.34907,0.001007093
503,16.48,29.40%,0.0047,4.84512,0.054683936
504,19.35,2.51%,0.009,0.485685,0.169778835
505,21.98,5.39%,0.0061,1.184722,0.1268511958
506,13.6,35.45%,0.0047,4.8212,0.04126036
507,7.29,16.18%,0.004,1.179522,0.024441912
